Year,Month,Active Agents,Total Registered Mobile Money Accounts (Millions),Total Agent Cash in Cash Out (Volume Million),Total Agent Cash in Cash Out (Value KSh billions),Value Per Transaction
2020,November,275960,65.7662,170.028,526.806,3.10
2020,October,273531,65.255,174.106,528.904,3.04
2020,September,263200,64.0304,163.342,483.215,2.96
2020,August,252703,62.7834,163.207,473.522,2.90
2020,July,234747,62.0651,157.755,450.981,2.86
2020,June,237637,61.7261,143.14,392.172,2.74
2020,May,243118,60.2432,135.932,357.37,2.63
2020,April,242275,59.4282,124.994,307.991,2.46
2020,March,240261,58.7131,150.687,364.511,2.42
2020,February,235543,58.6665,148.53,350.481,2.36
2020,January,231292,59.1672,150.204,371.9,2.48
2019,December,224108,58.3613,154.99,382.93,2.47
2019,November,222211,58.039,153.056,359.261,2.35
2019,October,223176,56.293,156.11,366.901,2.35
2019,September,224959,55.7004,151.224,365.908,2.42
2019,August,222479,54.7751,151.828,368.504,2.43
2019,July,222087,53.887,152.979,366.386,2.40
2019,June,222484,46.8005,149.727,346.847,2.32
2019,May,224825,52.1958,153.257,364.254,2.38
2019,April,230220,52.0478,155.796,360.216,2.31
2019,March,226957,50.36,161.38,368.39,2.28
2019,February,212252,50.04,144.49,328.15,2.27
2019,January,201336,40.2953,154.243,368.017,2.39
2018,December,205745,47.6943,155.774,367.766,2.36
2018,November,206312,46.2334,153.15,343.866,2.25
2018,October,211961,45.4371,155.16,343.225,2.21
2018,September,203359,44.2723,145.988,327.663,2.24
2018,August,202627,43.5588,149.517,348.912,2.33
2018,July,200227,42.613,143.087,332.352,2.32
2018,June,197286,42.581,137.412,317.671,2.31
2018,May,202387,41.729,140.954,328.97,2.33
2018,April,201795,40.2881,142.056,312.999,2.20
2018,March,196002,39.34,147.52,337.11,2.29
2018,February,192117,38.4185,132.297,300.852,2.27
2018,January,188029,37.8418,136.658,322.984,2.36
2017,December,182472,37.3868,139.934,332.622,2.38
2017,November,176986,36.3906,131.738,298.957,2.27
2017,October,170389,36.0008,134.198,299.018,2.23
2017,September,167775,35.537,128.457,300.917,2.34
2017,August,167353,35.333,120.645,286.341,2.37
2017,July,169480,34.578,128.105,308.893,2.41
2017,June,165109,34.178,125.897,299.789,2.38
2017,May,164674,34.205,132.455,315.448,2.38
2017,April,160076,34.286,128.885,297.437,2.31
2017,March,157855,33.919,133.336,320.18,2.40
2017,February,154908,33.291,117.495,279.386,2.38
2017,January,152547,33.343,122.03,299.486,2.45
2016,December,165908,34.957,126.349,316.773,2.51
2016,November,162441,34.281,120.932,291.227,2.41
2016,October,181456,34.037,122.45,292.092,2.39
2016,September,173731,33.435,112.586,284.055,2.52
2016,August,173774,32.757,114.156,297.229,2.60
2016,July,167072,32.336,110.514,281.854,2.55
2016,June,162465,31.386,106.342,270.973,2.55
2016,May,156349,31.296,107.821,277.94,2.58
2016,April,153762,31.438,105.506,269.82,2.56
2016,March,150987,30.696,107.855,273.585,2.54
2016,February,148982,29.489,100.983,257.185,2.55
2016,January,146710,29.0976,95.52,242.372,2.54
2015,December,143946,28.6447,107.44,267.068,2.49
2015,November,142386,28.064,101.33,236.372,2.33
2015,October,140612,27.537,102.75,255.808,2.49
2015,September,138131,27.312,96.32,247.506,2.57
2015,August,136042,27.0497,94.12,248.154,2.64
2015,July,133989,26.7382,93.9985,238.864,2.54
2015,June,131761,26.5028,90.6686,227.921,2.51
2015,May,129735,26.4645,89.9024,230.152,2.56
